g,r,v,z_plus,z_minus,p_plus,p_minus,abs_E_plus,abs_E_minus,worst_case,identity
0.18812,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24925313440000008,0.17400513440000004,0.24925313440000008,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18856,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2503868736,0.1749628736,0.2503868736,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.189,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.25152100000000005,0.175921,0.25152100000000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18944,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2526555136,0.17687951359999998,0.2526555136,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18988,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2537904144,0.17783841439999998,0.2537904144,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19032000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.25492570240000006,0.17879770240000004,0.25492570240000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19076,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.25606137760000003,0.1797573776,0.25606137760000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1912,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.25719744000000005,0.18071744,0.25719744000000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19164000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2583338896000001,0.1816778896000001,0.2583338896000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19208000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.25947072640000013,0.18263872640000006,0.25947072640000013,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19252000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26060795040000007,0.18359995040000004,0.26060795040000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19296000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26174556160000007,0.18456156160000003,0.26174556160000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19340000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26288356000000007,0.18552356000000003,0.26288356000000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19384,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26402194560000003,0.18648594560000004,0.26402194560000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19428,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26516071840000005,0.1874487184,0.26516071840000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19472,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2662998784,0.1884118784,0.2662998784,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19516,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2674394256,0.18937542559999998,0.2674394256,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1956,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.26857936000000004,0.19033936,0.26857936000000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19604,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2697196816,0.1913036816,0.2697196816,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19648,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.27086039040000004,0.19226839039999993,0.27086039040000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19691999999999998,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2720014864,0.1932334864,0.2720014864,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19736000000000004,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2731429696000001,0.19419896960000005,0.2731429696000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19780000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2742848400000001,0.19516484000000006,0.2742848400000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19824000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.27542709760000006,0.19613109760000003,0.27542709760000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19868000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2765697424000001,0.19709774240000005,0.2765697424000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19912000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2777127744000001,0.1980647744000001,0.2777127744000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.19956000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2788561936000001,0.19903219360000002,0.2788561936000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.2,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2800000000000001,0.2,0.2800000000000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
