stratum,channel,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
sealed16,A_SIB,S_DN_UF,S: DN−UF,-0.07142857142857142,-0.1875,-0.0625,0.4610753892461075,14,equivalence,0.1,False
sealed16,R,C_DN_CO,C: DN−CO,0.6153846153846154,0.5,0.6875,0.0007399926000739993,13,superiority,0.1,True
sealed16,R,C_DN_N0,C: DN−N0,0.5833333333333334,0.4375,0.6875,0.0011399886001139988,12,superiority,0.1,True
sealed16,R,C_DN_UF,C: DN−UF,0.58,0.3125,0.6875,0.004879951200487995,10,superiority,0.15,True
sealed16,R,C_DN_X,C: DN−X,-0.22000000000000003,-0.3125,0.0625,0.995070049299507,10,superiority,0.15,False
sealed16,R,C_MINUS_S,C−S,-0.15555555555555556,-0.5125,-0.07499999999999996,0.9091609083909161,9,superiority,0.15,False
sealed16,R,R0_DN_UF,R0: DN−UF,0.675,0.675,0.675,1.0,16,equivalence,0.1,False
sealed16,R,R1_DN_CO,R1: DN−CO,0.8571428571428571,0.75,0.875,7.999920000799993e-05,14,superiority,0.1,True
sealed16,R,R1_DN_N0,R1: DN−N0,0.8666666666666667,0.8125,0.875,4.999950000499995e-05,15,superiority,0.1,True
sealed16,R,R1_DN_UF,R1: DN−UF,0.8666666666666667,0.8125,0.875,5.999940000599994e-05,15,superiority,0.15,True
sealed16,R,R1_DN_X,R1: DN−X,0.10000000000000002,0.07499999999999996,0.19999999999999996,0.6640333596664033,14,superiority,0.15,False
sealed16,R,R1_MINUS_R0,R1−R0,0.16,0.13749999999999996,0.19999999999999996,0.4746852531474685,15,superiority,0.15,False
sealed16,R,S_DN_UF,S: DN−UF,0.8133333333333332,0.7625,0.825,1.0,15,equivalence,0.1,False
sealed16,A_MINUS_R,C_DN_CO,C: DN−CO,-0.6923076923076922,-0.75,-0.375,1.0,13,cross_channel,0.05,False
sealed16,A_MINUS_R,C_DN_N0,C: DN−N0,-0.5,-0.625,-0.125,0.988610113898861,12,cross_channel,0.05,False
sealed16,A_MINUS_R,C_DN_UF,C: DN−UF,-0.5777777777777778,-0.7625,0.11249999999999999,0.98020019799802,9,cross_channel,0.05,False
sealed16,A_MINUS_R,C_DN_X,C: DN−X,0.22000000000000003,-0.2375,0.5125,0.0944090559094409,10,cross_channel,0.05,False
sealed16,A_MINUS_R,C_MINUS_S,C−S,-0.3142857142857142,-0.7,0.42500000000000004,0.7252427475725243,7,cross_channel,0.05,False
sealed16,A_MINUS_R,R1_DN_CO,R1: DN−CO,-0.6923076923076923,-0.75,-0.375,1.0,13,cross_channel,0.05,False
sealed16,A_MINUS_R,R1_DN_N0,R1: DN−N0,-0.7333333333333333,-0.75,-0.625,1.0,15,cross_channel,0.05,False
sealed16,A_MINUS_R,R1_DN_UF,R1: DN−UF,-0.8571428571428571,-0.875,-0.625,1.0,14,cross_channel,0.05,False
sealed16,A_MINUS_R,R1_DN_X,R1: DN−X,-0.0285714285714286,-0.15,0.1,0.6883731162688373,14,cross_channel,0.05,False
sealed16,A_MINUS_R,R1_MINUS_R0,R1−R0,-0.2857142857142857,-0.375,-0.125,0.9683403165968341,14,cross_channel,0.05,False
sealed16,R_MINUS_A,C_DN_CO,C: DN−CO,0.6923076923076922,0.375,0.75,0.00024999750002499977,13,cross_channel,0.05,False
sealed16,R_MINUS_A,C_DN_N0,C: DN−N0,0.5,0.125,0.625,0.028059719402805973,12,cross_channel,0.05,False
sealed16,R_MINUS_A,C_DN_UF,C: DN−UF,0.5777777777777778,-0.11249999999999999,0.7625,0.03517964820351797,9,cross_channel,0.05,False
sealed16,R_MINUS_A,C_DN_X,C: DN−X,-0.22000000000000003,-0.5125,0.2375,0.984130158698413,10,cross_channel,0.05,False
sealed16,R_MINUS_A,C_MINUS_S,C−S,0.3142857142857142,-0.42500000000000004,0.7,0.37545624543754563,7,cross_channel,0.05,False
sealed16,R_MINUS_A,R1_DN_CO,R1: DN−CO,0.6923076923076923,0.375,0.75,0.0006199938000619994,13,cross_channel,0.05,False
sealed16,R_MINUS_A,R1_DN_N0,R1: DN−N0,0.7333333333333333,0.625,0.75,9.99990000099999e-05,15,cross_channel,0.05,False
sealed16,R_MINUS_A,R1_DN_UF,R1: DN−UF,0.8571428571428571,0.625,0.875,0.00010999890001099989,14,cross_channel,0.05,False
sealed16,R_MINUS_A,R1_DN_X,R1: DN−X,0.0285714285714286,-0.1,0.15,0.5575544244557554,14,cross_channel,0.05,False
sealed16,R_MINUS_A,R1_MINUS_R0,R1−R0,0.2857142857142857,0.125,0.375,0.0933790662093379,14,cross_channel,0.05,False
